市場,日時,銘柄名,株価,前日比,始値,高値,安値
指数銘柄,04月27日 22:13,日経平均株価,"19,783.22",+521.22(+2.71%),"19,410.84","19,819.06","19,410.18"
指数銘柄,04月27日 22:13,日経平均株価,"19,783.22",+521.22(+2.71%),"19,410.84","19,819.06","19,410.18"
